skill_name,jobs_count
Information Technology,25256
Sales,21193
Management,20385
Manufacturing,17728
Health Care Provider,16675
Business Development,13304
Engineering,12530
Other,12314
Finance,8011
Marketing,5400
Accounting/Auditing,4999
Administrative,4787
Customer Service,4167
Project Management,3825
Analyst,3775
Research,2928
Human Resources,2608
Consulting,2241
Legal,2229
Education,2217
