skill_name,jobs_count
Information Technology,4667
Sales,3841
Business Development,2702
Engineering,2130
Marketing,1170
Finance,1001
Other,877
Analyst,874
Management,790
Health Care Provider,638
Consulting,631
Project Management,585
Research,583
Administrative,582
Accounting/Auditing,530
Customer Service,483
Manufacturing,474
Writing/Editing,431
Human Resources,361
Product Management,330
